"url","atnd.id","seminar"
"http://atnd.org/events/2746","2746","第1回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/3054","3054","第2回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/3454","3454","第3回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/3930","3930","第4回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/4468","4468","第5回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/5441","5441","第6回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/6439","6439","第7回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/7280","7280","第8回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/7804","7804","第9回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/9177","9177","第10回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/12062","12062","第11回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/13335","13335","第12回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/14967","14967","第13回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/16080","16080","第14回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/17410","17410","第15回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/19192","19192","第16回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/19835","19835","第17回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/21050","21050","第18回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/22138","22138","第19回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/24629","24629","第20回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/24811","24811","第21回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/26386","26386","第22回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/28416","28416","第23回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/29541","29541","第24回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/30646","30646","第25回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/31518","31518","第26回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/32714","32714","第27回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/35764","35764","第28回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/36417","36417","第29回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/38512","38512","第30回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/38992","38992","第31回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/40213","40213","第32回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/42438","42438","第33回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/43885","43885","第34回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/45114","45114","第35回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/47713","47713","第36回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/48048","48048","第37回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/49186","49186","第38回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/50887","50887","第39回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/51779","51779","第40回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/52749","52749","第41回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/54680","54680","第42回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/56275","56275","第43回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/57640","57640","第44回R勉強会＠東京（#TokyoR）"
"http://atnd.org/events/60908","60908","第45回R勉強会＠東京（#TokyoR）"
