Number,Session,Speaker,Title,Slide,Community
1,1,yokkuns,Rの基礎(Rとは、データ構造、データの入出力、データの視覚化),NA,Tokyo.R
1,2,yokkuns,統計学の基礎(記述統計/推定/検定),slideshare,Tokyo.R
1,3,akiaki5516,NA,NA,Tokyo.R
2,1,wakuteka,RとDBMS,slideshare,Tokyo.R
2,2,Nikoriks,25年前のS事情,slideshare,Tokyo.R
2,3,yokkuns,統計的仮説検定、2つの平均値の比較,slideshare,Tokyo.R
3,1,hamadakoichi,R言語による時系列分析,slideshare,Tokyo.R
3,2,yokkuns,分散分析,pdf,Tokyo.R
3,3,syou6162,Optimization in R,slideshare,Tokyo.R
3,4,hamadakoichi,プロセス、リソース、グラフと統計解析,slideshare,Tokyo.R
3,5,doradora09,RFinanceYJを使ってみた,ppt,Tokyo.R
3,6,wakuteka,RとDBMS,slideshare,Tokyo.R
4,1,yokkuns,RとWeb API,slideshare,Tokyo.R
4,2,yokkuns,Rによるやさしい統計学10章～14章 ,slideshare,Tokyo.R
4,3,hotoku,Rでカルマンフィルタ,NA,Tokyo.R
4,4,yanashi,財布にやさしいRを使ったデータマイニング,slideshare,Tokyo.R
4,5,takanobu_mizuta,Value at Risk の紹介,slideshare,Tokyo.R
5,1,masafumisano,Y！ファイナンス非公式ガイド（仮）,NA,Tokyo.R
5,2,yokkuns,10分で分かるRパッケージの作り方,sildeshare,Tokyo.R
5,3,doradora09,Rによるやさしい統計学 : 第15章 回帰分析,NA,Tokyo.R
5,4,oshiro40,人口統計データの分析手法,slideshare,Tokyo.R
6,1,yokkuns,10分で分かるRパッケージの作り方,slideshare ,Tokyo.R
6,2,holidayworking,Rによるやさしい統計学 第16章 : 因子分析,slideshare,Tokyo.R
6,3,dichika,ggplot2できれいなグラフ,slideshare,Tokyo.R
6,4,teramonagi,Rで学ぶ金融工学入門　～現代ポートフォリオ理論編～,slideshare,Tokyo.R
6,5,halamy,金融工学入門 ～Rで確率微分方程式～,NA,Tokyo.R
6,6,masafumisano,Y！ファイナンス非公式ガイド（仮）,NA,Tokyo.R
7,1,bob3bob3,Rによるやさしい統計学 第17章 : 共分散構造分析,slideshare,Tokyo.R
7,2,yanashi,PythonとR,NA,Tokyo.R
7,3,tyatsuta,R Language Definition案内～Rでハマったときのために～,slideshare,Tokyo.R
7,4,mangantempy,Rで麻雀,slideshare,Tokyo.R
7,5,sfchaos,RとC、C++の連携,slideshare,Tokyo.R
7,6,yokkuns,10分で分かるRパッケージの作り方,slideshare ,Tokyo.R
8,1,yokkuns,Rによるデータサイエンス第Ⅱ部 第3章 対応分析,slideshare,Tokyo.R
8,2,bob3bob3,ブランド・ポジショニングの分析,slideshare,Tokyo.R
8,3,holidayworking,RでMapReduce,slideshare,Tokyo.R
8,4,Nikoriks,Rのハラワタをちょっと見てみる,slideshare,Tokyo.R
8,5,aad34210,Rの海外サイトのご紹介（仮）,slideshare,Tokyo.R
9,1,tyatsuta,Rの失敗？環境と変数代入と遅延評価と～R Language Definition案内番外編～,slideshare,Tokyo.R
9,2,yokkuns,Rによるデータサイエンス第Ⅱ部 第4章 多次元尺度法,slideshare,Tokyo.R
9,3,nokuno,Rによる文書モデルの可視化　～トピックモデル、ディリクレ分布、LDA,slideshare,Tokyo.R
9,4,aad34210,RExcelでの日本語利用,参考(Japan.Rの資料),Tokyo.R
9,5,teramonagi,スマートに時系列を捌く方法,slideshare,Tokyo.R
10,1,hnz,Rによるデータサイエンス第Ⅱ部 第5章 クラスター分析,slideshare,Tokyo.R
10,2,manozo,スマートに時系列を捌く方法 2,NA,Tokyo.R
10,3,ito_yan,基本パッケージの描画機能について,slideshare,Tokyo.R
10,4,yokkuns,Japan.Rについて,NA,Tokyo.R
