"Number","ID","Name","Twitter","Status"
1,"5923","yokkuns","yokkuns","1"
1,"17358","akiaki5516",NA,"1"
1,"11108","teilnehmen","teilnehmen","1"
1,"17372","id322",NA,"1"
1,"7997","Jxck","Jxck_","1"
1,"17387","chihirovv",NA,"1"
1,"13498","kentaro714",NA,"1"
1,"17406","まちゃ",NA,"1"
1,"17443","hamadakoichi","hamadakoichi","1"
1,"7475","nokuno","nokuno","1"
1,"17452","bob3","bob3bob3","1"
1,"10220","takah",NA,"1"
1,"11945","wakuteka","wakuteka","1"
1,"17939","ogashin","oga_shin","1"
1,"10768","khirano1",NA,"0"
1,"18084","taro-sansan",NA,"0"
1,"12044","hiro1270jpn",NA,"0"
1,"17132","take1qaz",NA,"0"
1,"1568","kuwa_tw","kuwa_tw","0"
1,"18305","sonots","sonots","0"
2,"5923","yokkuns","yokkuns","1"
2,"7653","mizutomo","mizutomo","1"
2,"17406","まちゃ",NA,"1"
2,"19170","ichikawadaisuke",NA,"1"
2,"17452","bob3","bob3bob3","1"
2,"11108","teilnehmen","teilnehmen","1"
2,"15759","oshiro40",NA,"1"
2,"17443","hamadakoichi","hamadakoichi","1"
2,"17358","akiaki5516",NA,"1"
2,"19175","aad34210",NA,"1"
2,"7475","nokuno","nokuno","1"
2,"17939","ogashin","oga_shin","1"
2,"7997","Jxck","Jxck_","1"
2,"19581","mitsudaa",NA,"1"
2,"19751","shigex",NA,"1"
2,"20007","st77261",NA,"1"
2,"20296","gof",NA,"1"
2,"20343","naotsuk",NA,"1"
2,"1468","showyou",NA,"1"
2,"20655","のぶひろ",NA,"1"
2,"20663","nob.kino＝Nikoriks",NA,"1"
3,"5923","yokkuns","yokkuns","1"
3,"17443","hamadakoichi","hamadakoichi","1"
3,"21334","所沢義男",NA,"1"
3,"4141","syou6162","syou6162","1"
3,"17452","bob3","bob3bob3","1"
3,"19175","aad34210",NA,"1"
3,"15759","oshiro40",NA,"1"
3,"21386","NAKAO Keisuke",NA,"1"
3,"1468","showyou",NA,"1"
3,"17939","ogashin","oga_shin","1"
3,"17214","keiichimaeda","keiichimaeda","1"
3,"21619","iforce777",NA,"1"
3,"17358","akiaki5516",NA,"1"
3,"17406","まちゃ",NA,"1"
3,"12282","yanashi",NA,"1"
3,"21764","halamy",NA,"1"
3,"21808","okemos",NA,"1"
3,"20663","nob.kino＝Nikoriks",NA,"1"
3,"21974","hotoku66","hotoku","1"
3,"21996","1mail2itoh3",NA,"1"
3,"22118","nsaito0615",NA,"1"
3,"13964","ahirose",NA,"1"
3,"22125","A.Eguchi",NA,"1"
3,"1462","yanaoki","yanaoki","1"
3,"4443","oskimura","oskimura","1"
3,"37557","水田孝信","takanobu_mizuta","1"
3,"14399","yuga","yuga","1"
3,"11945","wakuteka","wakuteka","1"
3,"9853","いちい386",NA,"1"
3,"20428","gabanz","x3magic","1"
3,"22283","masafumi.sano",NA,"1"
3,"22291","urabe.shin",NA,"1"
3,"22384","k-tamura",NA,"1"
3,"22400","okjam",NA,"1"
3,"22641","taku.stdy",NA,"1"
3,"5184","whym","whym","1"
3,"22912","tota","tota_rtfm","1"
3,"20397","Keiku",NA,"1"
3,"19581","mitsudaa",NA,"1"
3,"14867","karubi","karubi","1"
3,"6961","winmostar","winmostar","1"
3,"7821","minamishinji",NA,"1"
3,"23535","bonohu","bonohu","1"
3,"23516","kazfuji",NA,"1"
4,"5923","yokkuns","yokkuns","1"
4,"24436","norio3bon",NA,"1"
4,"17443","hamadakoichi","hamadakoichi","1"
4,"7475","nokuno","nokuno","1"
4,"24257","flyer",NA,"1"
4,"37557","水田孝信","takanobu_mizuta","1"
4,"21619","iforce777",NA,"1"
4,"1487","mkataigi",NA,"1"
4,"12282","yanashi",NA,"1"
4,"20454","jmaeno",NA,"1"
4,"7821","minamishinji",NA,"1"
4,"1462","yanaoki","yanaoki","1"
4,"21334","所沢義男",NA,"1"
4,"14867","karubi","karubi","1"
4,"17358","akiaki5516",NA,"1"
4,"17066","u_daisuke",NA,"1"
4,"24452","sstat3","sstat3","1"
4,"15759","oshiro40",NA,"1"
4,"24501","teramonagi","teramonagi","1"
4,"22400","okjam",NA,"1"
4,"5906","ytesaki","ytesaki","1"
4,"22384","k-tamura",NA,"1"
4,"24695","a-koike",NA,"1"
4,"20111","kohta",NA,"1"
4,"17939","ogashin","oga_shin","1"
4,"21974","hotoku66","hotoku","1"
4,"24815","mrorii",NA,"1"
4,"24899","mutual_coherence",NA,"1"
4,"24924","keigo.ky",NA,"1"
4,"25087","nagayoshi3",NA,"1"
4,"5026","itoyan",NA,"1"
4,"22156","shinobon",NA,"1"
4,"25845","tiwanaga",NA,"1"
4,"25740","hoswitch",NA,"1"
4,"15254","keizo","tabuchik","1"
5,"5923","yokkuns","yokkuns","1"
5,"20663","nob.kino＝Nikoriks",NA,"1"
5,"17443","hamadakoichi","hamadakoichi","1"
5,"24452","sstat3","sstat3","1"
5,"5026","itoyan",NA,"1"
5,"7475","nokuno","nokuno","1"
5,"6418","yatsuta","tyatsuta","1"
5,"3385","mkouhei","mkouhei","1"
5,"21334","所沢義男",NA,"1"
5,"37501","usuihiro","usuihiro","1"
5,"15759","oshiro40",NA,"1"
5,"22384","k-tamura",NA,"1"
5,"17358","akiaki5516",NA,"1"
5,"17452","bob3","bob3bob3","1"
5,"5687","tsubosaka",NA,"1"
5,"14867","karubi","karubi","1"
5,"5644","holidayworking","holidayworking","1"
5,"27537","y-shindoh","y_shindoh","1"
5,"22641","taku.stdy",NA,"1"
5,"12282","yanashi",NA,"1"
5,"27552","Mariko Matsuura",NA,"1"
5,"27558","tommy",NA,"1"
5,"27560","suzatsu",NA,"1"
5,"19581","mitsudaa",NA,"1"
5,"12300","onicchi",NA,"1"
5,"24501","teramonagi","teramonagi","1"
5,"27639","ActiveIndex",NA,"1"
5,"27645","carrion-crow","carrion_crow","1"
5,"37009","wk77","wk77","1"
5,"37427","yuya_takeyama","yuya_takeyama","1"
5,"27694","kiyo.sug",NA,"1"
5,"25087","nagayoshi3",NA,"1"
5,"22400","okjam",NA,"1"
5,"27768","augold79da",NA,"1"
5,"21764","halamy",NA,"1"
5,"27554","i31",NA,"1"
5,"28332","zhiping",NA,"1"
5,"2051","noon.lamp",NA,"1"
5,"11945","wakuteka","wakuteka","1"
5,"28722","yishii",NA,"1"
6,"5923","yokkuns","yokkuns","1"
6,"21334","所沢義男",NA,"1"
6,"17443","hamadakoichi","hamadakoichi","1"
6,"24501","teramonagi","teramonagi","1"
6,"20454","jmaeno",NA,"1"
6,"15675","dimbula",NA,"1"
6,"22641","taku.stdy",NA,"1"
6,"21764","halamy",NA,"1"
6,"29629","takanobu_mizuta",NA,"1"
6,"27537","y-shindoh","y_shindoh","1"
6,"17452","bob3","bob3bob3","1"
6,"30715","kimukou_26","kimukou_26","1"
6,"5026","itoyan",NA,"1"
6,"24452","sstat3","sstat3","1"
6,"14399","yuga","yuga","1"
6,"12800","nativecowboy","Nativecowboy","1"
6,"6418","yatsuta","tyatsuta","1"
6,"15210","download_takeshi",NA,"1"
6,"17358","akiaki5516",NA,"1"
6,"12282","yanashi",NA,"1"
6,"14867","karubi","karubi","1"
6,"21097","rindai87","rindai87","1"
6,"25087","nagayoshi3",NA,"1"
6,"7821","minamishinji",NA,"1"
6,"20663","nob.kino＝Nikoriks",NA,"1"
6,"5644","holidayworking","holidayworking","1"
6,"31562","kimiyuki","phar","1"
6,"22283","masafumi.sano",NA,"1"
6,"10046","rti7743","super_rti","1"
6,"27645","carrion-crow","carrion_crow","1"
6,"19175","aad34210",NA,"1"
6,"31601","ishioka",NA,"1"
6,"31652","フライヤ",NA,"1"
6,"28722","yishii",NA,"1"
6,"37501","usuihiro","usuihiro","1"
6,"17406","まちゃ",NA,"1"
6,"20111","kohta",NA,"1"
6,"32277","gentlementatu",NA,"1"
6,"32423","bado",NA,"1"
6,"20514","Ingham_county",NA,"1"
6,"32770","sfchaos","sfchaos","1"
6,"20142","tomokazuhattanda","tomokazuhattand","1"
6,"26580","kerakera",NA,"1"
7,"24501","teramonagi","teramonagi","1"
7,"5923","yokkuns","yokkuns","1"
7,"21334","所沢義男",NA,"1"
7,"1462","yanaoki","yanaoki","1"
7,"17443","hamadakoichi","hamadakoichi","1"
7,"15675","dimbula",NA,"1"
7,"28278","matsue",NA,"1"
7,"17452","bob3","bob3bob3","1"
7,"24452","sstat3","sstat3","1"
7,"5026","itoyan",NA,"1"
7,"25087","nagayoshi3",NA,"1"
7,"35079","じへい",NA,"1"
7,"20663","nob.kino＝Nikoriks",NA,"1"
7,"14867","karubi","karubi","1"
7,"5687","tsubosaka",NA,"1"
7,"28722","yishii",NA,"1"
7,"33366","ikuyamada",NA,"1"
7,"15759","oshiro40",NA,"1"
7,"6418","yatsuta","tyatsuta","1"
7,"17358","akiaki5516",NA,"1"
7,"20111","kohta",NA,"1"
7,"27537","y-shindoh","y_shindoh","1"
7,"24924","keigo.ky",NA,"1"
7,"20454","jmaeno",NA,"1"
7,"35237","marutom",NA,"1"
7,"35238","Quasi_quant2010","Quasi_quant2010","1"
7,"33870","cTnT",NA,"1"
7,"10046","rti7743","super_rti","1"
7,"22641","taku.stdy",NA,"1"
7,"21764","halamy",NA,"1"
7,"19175","aad34210",NA,"1"
7,"34678","fuzzysphere",NA,"1"
7,"31601","ishioka",NA,"1"
7,"31562","kimiyuki","phar","1"
7,"656","sugi_0000",NA,"1"
7,"26580","kerakera",NA,"1"
7,"32770","sfchaos","sfchaos","1"
7,"7475","nokuno","nokuno","1"
7,"17406","まちゃ",NA,"1"
7,"2269","manozo","manozo","1"
7,"14399","yuga","yuga","1"
7,"27645","carrion-crow","carrion_crow","1"
7,"23806","dada","DADA246","1"
7,"35742","sugimoriakihiro",NA,"1"
7,"37501","usuihiro","usuihiro","1"
7,"36054","idoth2o",NA,"1"
7,"36075","eizo01",NA,"1"
7,"7547","sleepy_yoshi","sleepy_yoshi","1"
8,"5923","yokkuns","yokkuns","1"
8,"24186","langstat","langstat","1"
8,"24501","teramonagi","teramonagi","1"
8,"19175","aad34210",NA,"1"
8,"5026","itoyan",NA,"1"
8,"17452","bob3","bob3bob3","1"
8,"17443","hamadakoichi","hamadakoichi","1"
8,"106055","しげっくす","shigex","1"
8,"20111","kohta",NA,"1"
8,"38622","y00suke",NA,"1"
8,"38625","actuaryjp","actuaryjp","1"
8,"20397","Keiku",NA,"1"
8,"32770","sfchaos","sfchaos","1"
8,"5644","holidayworking","holidayworking","1"
8,"24452","sstat3","sstat3","1"
8,"7475","nokuno","nokuno","1"
8,"14867","karubi","karubi","1"
8,"28722","yishii",NA,"1"
8,"38700","miyatender","Miyatender","1"
8,"35238","Quasi_quant2010","Quasi_quant2010","1"
8,"17358","akiaki5516",NA,"1"
8,"34678","fuzzysphere",NA,"1"
8,"20663","nob.kino＝Nikoriks",NA,"1"
8,"38852","aeonstorm",NA,"1"
8,"26469","sato_sato_sato",NA,"1"
8,"31601","ishioka",NA,"1"
8,"33870","cTnT",NA,"1"
8,"39262","ytoyoda","y_toyoda","1"
8,"27560","suzatsu",NA,"1"
8,"31562","kimiyuki","phar","1"
8,"17435","uokada","uokada","1"
8,"24924","keigo.ky",NA,"1"
8,"656","sugi_0000",NA,"1"
8,"39516","hirotaka26",NA,"1"
8,"24444","sleipnir",NA,"1"
8,"8275","jaisalmer992","jaisalmer992_","1"
8,"40046","Ted__Henry","Ted__Henry","1"
9,"14867","karubi","karubi","1"
9,"2269","manozo","manozo","1"
9,"24501","teramonagi","teramonagi","1"
9,"27645","carrion-crow","carrion_crow","1"
9,"31601","ishioka",NA,"1"
9,"25087","nagayoshi3",NA,"1"
9,"19175","aad34210",NA,"1"
9,"24695","a-koike",NA,"1"
9,"28722","yishii",NA,"1"
9,"34678","fuzzysphere",NA,"1"
9,"23806","dada","DADA246","1"
9,"17358","akiaki5516",NA,"1"
9,"5923","yokkuns","yokkuns","1"
9,"21764","halamy",NA,"1"
9,"20454","jmaeno",NA,"1"
9,"27537","y-shindoh","y_shindoh","1"
9,"18849","hnisiji","hnz","1"
9,"24452","sstat3","sstat3","1"
9,"14399","yuga","yuga","1"
9,"40046","Ted__Henry","Ted__Henry","1"
9,"5026","itoyan",NA,"1"
9,"17435","uokada","uokada","1"
9,"10614","just_do_neet",NA,"1"
9,"20111","kohta",NA,"1"
9,"33870","cTnT",NA,"1"
9,"6418","yatsuta","tyatsuta","1"
9,"30715","kimukou_26","kimukou_26","1"
